instance,cost,best_cost
judgment-aggregation-ja-kemeny-preflib-00043-00000180.wcnf,433,433
judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf,542,542
judgment-aggregation-ja-kemeny-preflib-00051-00000007.wcnf,545,545
judgment-aggregation-ja-kemeny-preflib-00049-00000377.wcnf,647,647
judgment-aggregation-ja-kemeny-preflib-00049-00000353.wcnf,554,554
judgment-aggregation-ja-kemeny-preflib-00049-00000468.wcnf,548,548
judgment-aggregation-ja-kemeny-preflib-00051-00000009.wcnf,633,633
judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf,776,776
judgment-aggregation-ja-kemeny-preflib-00049-00000614.wcnf,792,792
judgment-aggregation-ja-kemeny-preflib-00049-00000454.wcnf,631,631
judgment-aggregation-ja-kemeny-preflib-00049-00000451.wcnf,928,928
judgment-aggregation-ja-kemeny-preflib-00049-00000287.wcnf,782,782
judgment-aggregation-ja-kemeny-preflib-00051-00000011.wcnf,694,694
