instance,cost
abstraction-refinement_wt-polysite-avrora.wcnf,-2
abstraction-refinement_wt-polysite-hsqldb.wcnf,-2
abstraction-refinement_wt-polysite-xalan.wcnf,140
abstraction-refinement_wt-polysite-bloat.wcnf,132
abstraction-refinement_wt-polysite-lusearch.wcnf,129
abstraction-refinement_wt-downcast-hsqldb.wcnf,-2
abstraction-refinement_wt-polysite-pmd.wcnf,-2
abstraction-refinement_wt-downcast-avrora.wcnf,-2
abstraction-refinement_wt-downcast-antlr.wcnf,-2
abstraction-refinement_wt-downcast-xalan.wcnf,-2
abstraction-refinement_wt-downcast-pmd.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_40_0.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_40_8.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_140_1.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_120_5.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_160_5.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_140_0.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_200_5.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_160_1.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_100_4.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_160_9.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_200_0.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_140_7.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_40_6.wcnf,-2
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf,-2
